,a0,a3,omega,number,color
0,0.0,0.0,0.0,5.0,y
1,0.0,0.0,0.1,5.0,y
2,0.0,0.0,0.2,5.0,y
3,0.0,0.0,0.3,5.0,y
4,0.0,0.0,0.4,3.0,c
5,0.0,0.0,0.5,3.0,c
6,0.0,0.0,0.6,2.0,r
7,0.0,0.0,0.7,2.0,r
8,0.0,0.0,0.8,1.0,g
9,0.0,0.0,0.9,0.0,b
10,0.01,0.0,0.0,7.0,0.55
11,0.01,0.0,0.1,5.0,y
12,0.01,0.0,0.2,5.0,y
13,0.01,0.0,0.3,5.0,y
14,0.01,0.0,0.4,3.0,c
15,0.01,0.0,0.5,3.0,c
16,0.01,0.0,0.6,2.0,r
17,0.01,0.0,0.7,2.0,r
18,0.01,0.0,0.8,1.0,g
19,0.01,0.0,0.9,0.0,b
20,0.02,0.0,0.0,7.0,0.55
21,0.02,0.0,0.1,5.0,y
22,0.02,0.0,0.2,5.0,y
23,0.02,0.0,0.3,5.0,y
24,0.02,0.0,0.4,3.0,c
25,0.02,0.0,0.5,3.0,c
26,0.02,0.0,0.6,2.0,r
27,0.02,0.0,0.7,2.0,r
28,0.02,0.0,0.8,1.0,g
29,0.02,0.0,0.9,0.0,b
30,0.03,0.0,0.0,7.0,0.55
31,0.03,0.0,0.1,5.0,y
32,0.03,0.0,0.2,5.0,y
33,0.03,0.0,0.3,5.0,y
34,0.03,0.0,0.4,3.0,c
35,0.03,0.0,0.5,3.0,c
36,0.03,0.0,0.6,2.0,r
37,0.03,0.0,0.7,2.0,r
38,0.03,0.0,0.8,1.0,g
39,0.03,0.0,0.9,0.0,b
40,0.04,0.0,0.0,7.0,0.55
41,0.04,0.0,0.1,5.0,y
42,0.04,0.0,0.2,5.0,y
43,0.04,0.0,0.3,5.0,y
44,0.04,0.0,0.4,3.0,c
45,0.04,0.0,0.5,3.0,c
46,0.04,0.0,0.6,2.0,r
47,0.04,0.0,0.7,2.0,r
48,0.04,0.0,0.8,1.0,g
49,0.04,0.0,0.9,0.0,b
50,0.05,0.0,0.0,7.0,0.55
51,0.05,0.0,0.1,5.0,y
52,0.05,0.0,0.2,5.0,y
53,0.05,0.0,0.3,5.0,y
54,0.05,0.0,0.4,3.0,c
55,0.05,0.0,0.5,3.0,c
56,0.05,0.0,0.6,2.0,r
57,0.05,0.0,0.7,2.0,r
58,0.05,0.0,0.8,1.0,g
59,0.05,0.0,0.9,0.0,b
60,0.06,0.0,0.0,7.0,0.55
61,0.06,0.0,0.1,5.0,y
62,0.06,0.0,0.2,5.0,y
63,0.06,0.0,0.3,5.0,y
64,0.06,0.0,0.4,3.0,c
65,0.06,0.0,0.5,3.0,c
66,0.06,0.0,0.6,2.0,r
67,0.06,0.0,0.7,2.0,r
68,0.06,0.0,0.8,1.0,g
69,0.06,0.0,0.9,0.0,b
70,0.07,0.0,0.0,7.0,0.55
71,0.07,0.0,0.1,5.0,y
72,0.07,0.0,0.2,5.0,y
73,0.07,0.0,0.3,5.0,y
74,0.07,0.0,0.4,3.0,c
75,0.07,0.0,0.5,3.0,c
76,0.07,0.0,0.6,2.0,r
77,0.07,0.0,0.7,2.0,r
78,0.07,0.0,0.8,1.0,g
79,0.07,0.0,0.9,0.0,b
80,0.08,0.0,0.0,7.0,0.55
81,0.08,0.0,0.1,5.0,y
82,0.08,0.0,0.2,5.0,y
83,0.08,0.0,0.3,5.0,y
84,0.08,0.0,0.4,3.0,c
85,0.08,0.0,0.5,3.0,c
86,0.08,0.0,0.6,2.0,r
87,0.08,0.0,0.7,2.0,r
88,0.08,0.0,0.8,1.0,g
89,0.08,0.0,0.9,0.0,b
90,0.09,0.0,0.0,7.0,0.55
91,0.09,0.0,0.1,5.0,y
92,0.09,0.0,0.2,5.0,y
93,0.09,0.0,0.3,5.0,y
94,0.09,0.0,0.4,3.0,c
95,0.09,0.0,0.5,3.0,c
96,0.09,0.0,0.6,2.0,r
97,0.09,0.0,0.7,2.0,r
98,0.09,0.0,0.8,1.0,g
99,0.09,0.0,0.9,0.0,b
100,0.1,0.0,0.0,7.0,0.55
101,0.1,0.0,0.1,5.0,y
102,0.1,0.0,0.2,5.0,y
103,0.1,0.0,0.3,5.0,y
104,0.1,0.0,0.4,3.0,c
105,0.1,0.0,0.5,3.0,c
106,0.1,0.0,0.6,2.0,r
107,0.1,0.0,0.7,2.0,r
108,0.1,0.0,0.8,1.0,g
109,0.1,0.0,0.9,0.0,b
110,0.11,0.0,0.0,7.0,0.55
111,0.11,0.0,0.1,5.0,y
112,0.11,0.0,0.2,5.0,y
113,0.11,0.0,0.3,5.0,y
114,0.11,0.0,0.4,3.0,c
115,0.11,0.0,0.5,3.0,c
116,0.11,0.0,0.6,2.0,r
117,0.11,0.0,0.7,2.0,r
118,0.11,0.0,0.8,1.0,g
119,0.11,0.0,0.9,0.0,b
120,0.12,0.0,0.0,7.0,0.55
121,0.12,0.0,0.1,5.0,y
122,0.12,0.0,0.2,5.0,y
123,0.12,0.0,0.3,5.0,y
124,0.12,0.0,0.4,3.0,c
125,0.12,0.0,0.5,3.0,c
126,0.12,0.0,0.6,2.0,r
127,0.12,0.0,0.7,2.0,r
128,0.12,0.0,0.8,1.0,g
129,0.12,0.0,0.9,0.0,b
130,0.13,0.0,0.0,7.0,0.55
131,0.13,0.0,0.1,5.0,y
132,0.13,0.0,0.2,5.0,y
133,0.13,0.0,0.3,5.0,y
134,0.13,0.0,0.4,3.0,c
135,0.13,0.0,0.5,3.0,c
136,0.13,0.0,0.6,2.0,r
137,0.13,0.0,0.7,2.0,r
138,0.13,0.0,0.8,1.0,g
139,0.13,0.0,0.9,0.0,b
140,0.14,0.0,0.0,7.0,0.55
141,0.14,0.0,0.1,5.0,y
142,0.14,0.0,0.2,5.0,y
143,0.14,0.0,0.3,5.0,y
144,0.14,0.0,0.4,3.0,c
145,0.14,0.0,0.5,3.0,c
146,0.14,0.0,0.6,2.0,r
147,0.14,0.0,0.7,2.0,r
148,0.14,0.0,0.8,1.0,g
149,0.14,0.0,0.9,0.0,b
150,0.15,0.0,0.0,7.0,0.55
151,0.15,0.0,0.1,5.0,y
152,0.15,0.0,0.2,5.0,y
153,0.15,0.0,0.3,5.0,y
154,0.15,0.0,0.4,3.0,c
155,0.15,0.0,0.5,3.0,c
156,0.15,0.0,0.6,2.0,r
157,0.15,0.0,0.7,2.0,r
158,0.15,0.0,0.8,1.0,g
159,0.15,0.0,0.9,0.0,b
160,0.16,0.0,0.0,7.0,0.55
161,0.16,0.0,0.1,5.0,y
162,0.16,0.0,0.2,5.0,y
163,0.16,0.0,0.3,5.0,y
164,0.16,0.0,0.4,3.0,c
165,0.16,0.0,0.5,3.0,c
166,0.16,0.0,0.6,2.0,r
167,0.16,0.0,0.7,2.0,r
168,0.16,0.0,0.8,1.0,g
169,0.16,0.0,0.9,0.0,b
170,0.17,0.0,0.0,7.0,0.55
171,0.17,0.0,0.1,5.0,y
172,0.17,0.0,0.2,5.0,y
173,0.17,0.0,0.3,5.0,y
174,0.17,0.0,0.4,3.0,c
175,0.17,0.0,0.5,3.0,c
176,0.17,0.0,0.6,2.0,r
177,0.17,0.0,0.7,2.0,r
178,0.17,0.0,0.8,1.0,g
179,0.17,0.0,0.9,0.0,b
180,0.18,0.0,0.0,7.0,0.55
181,0.18,0.0,0.1,5.0,y
182,0.18,0.0,0.2,5.0,y
183,0.18,0.0,0.3,5.0,y
184,0.18,0.0,0.4,3.0,c
185,0.18,0.0,0.5,3.0,c
186,0.18,0.0,0.6,2.0,r
187,0.18,0.0,0.7,2.0,r
188,0.18,0.0,0.8,1.0,g
189,0.18,0.0,0.9,0.0,b
190,0.19,0.0,0.0,7.0,0.55
191,0.19,0.0,0.1,5.0,y
192,0.19,0.0,0.2,5.0,y
193,0.19,0.0,0.3,5.0,y
194,0.19,0.0,0.4,3.0,c
195,0.19,0.0,0.5,3.0,c
196,0.19,0.0,0.6,2.0,r
197,0.19,0.0,0.7,2.0,r
198,0.19,0.0,0.8,1.0,g
199,0.19,0.0,0.9,0.0,b
200,0.2,0.0,0.0,7.0,0.55
201,0.2,0.0,0.1,5.0,y
202,0.2,0.0,0.2,5.0,y
203,0.2,0.0,0.3,5.0,y
204,0.2,0.0,0.4,3.0,c
205,0.2,0.0,0.5,3.0,c
206,0.2,0.0,0.6,2.0,r
207,0.2,0.0,0.7,2.0,r
208,0.2,0.0,0.8,1.0,g
209,0.2,0.0,0.9,0.0,b
210,0.21,0.0,0.0,7.0,0.55
211,0.21,0.0,0.1,5.0,y
212,0.21,0.0,0.2,5.0,y
213,0.21,0.0,0.3,5.0,y
214,0.21,0.0,0.4,3.0,c
215,0.21,0.0,0.5,3.0,c
216,0.21,0.0,0.6,2.0,r
217,0.21,0.0,0.7,2.0,r
218,0.21,0.0,0.8,1.0,g
219,0.21,0.0,0.9,0.0,b
220,0.22,0.0,0.0,7.0,0.55
221,0.22,0.0,0.1,5.0,y
222,0.22,0.0,0.2,5.0,y
223,0.22,0.0,0.3,5.0,y
224,0.22,0.0,0.4,3.0,c
225,0.22,0.0,0.5,3.0,c
226,0.22,0.0,0.6,2.0,r
227,0.22,0.0,0.7,2.0,r
228,0.22,0.0,0.8,1.0,g
229,0.22,0.0,0.9,0.0,b
230,0.23,0.0,0.0,7.0,0.55
231,0.23,0.0,0.1,5.0,y
232,0.23,0.0,0.2,5.0,y
233,0.23,0.0,0.3,5.0,y
234,0.23,0.0,0.4,3.0,c
235,0.23,0.0,0.5,3.0,c
236,0.23,0.0,0.6,2.0,r
237,0.23,0.0,0.7,2.0,r
238,0.23,0.0,0.8,1.0,g
239,0.23,0.0,0.9,0.0,b
240,0.24,0.0,0.0,7.0,0.55
241,0.24,0.0,0.1,5.0,y
242,0.24,0.0,0.2,5.0,y
243,0.24,0.0,0.3,5.0,y
244,0.24,0.0,0.4,3.0,c
245,0.24,0.0,0.5,3.0,c
246,0.24,0.0,0.6,2.0,r
247,0.24,0.0,0.7,2.0,r
248,0.24,0.0,0.8,1.0,g
249,0.24,0.0,0.9,0.0,b
250,0.25,0.0,0.0,7.0,0.55
251,0.25,0.0,0.1,5.0,y
252,0.25,0.0,0.2,5.0,y
253,0.25,0.0,0.3,5.0,y
254,0.25,0.0,0.4,3.0,c
255,0.25,0.0,0.5,3.0,c
256,0.25,0.0,0.6,2.0,r
257,0.25,0.0,0.7,2.0,r
258,0.25,0.0,0.8,1.0,g
259,0.25,0.0,0.9,0.0,b
260,0.26,0.0,0.0,7.0,0.55
261,0.26,0.0,0.1,5.0,y
262,0.26,0.0,0.2,5.0,y
263,0.26,0.0,0.3,5.0,y
264,0.26,0.0,0.4,3.0,c
265,0.26,0.0,0.5,3.0,c
266,0.26,0.0,0.6,2.0,r
267,0.26,0.0,0.7,2.0,r
268,0.26,0.0,0.8,1.0,g
269,0.26,0.0,0.9,0.0,b
270,0.27,0.0,0.0,7.0,0.55
271,0.27,0.0,0.1,5.0,y
272,0.27,0.0,0.2,5.0,y
273,0.27,0.0,0.3,5.0,y
274,0.27,0.0,0.4,3.0,c
275,0.27,0.0,0.5,3.0,c
276,0.27,0.0,0.6,2.0,r
277,0.27,0.0,0.7,2.0,r
278,0.27,0.0,0.8,1.0,g
279,0.27,0.0,0.9,0.0,b
280,0.28,0.0,0.0,7.0,0.55
281,0.28,0.0,0.1,5.0,y
282,0.28,0.0,0.2,5.0,y
283,0.28,0.0,0.3,5.0,y
284,0.28,0.0,0.4,3.0,c
285,0.28,0.0,0.5,3.0,c
286,0.28,0.0,0.6,2.0,r
287,0.28,0.0,0.7,2.0,r
288,0.28,0.0,0.8,1.0,g
289,0.28,0.0,0.9,0.0,b
290,0.29,0.0,0.0,7.0,0.55
291,0.29,0.0,0.1,5.0,y
292,0.29,0.0,0.2,5.0,y
293,0.29,0.0,0.3,5.0,y
294,0.29,0.0,0.4,3.0,c
295,0.29,0.0,0.5,3.0,c
296,0.29,0.0,0.6,2.0,r
297,0.29,0.0,0.7,2.0,r
298,0.29,0.0,0.8,1.0,g
299,0.29,0.0,0.9,0.0,b
300,0.3,0.0,0.0,7.0,0.55
301,0.3,0.0,0.1,5.0,y
302,0.3,0.0,0.2,5.0,y
303,0.3,0.0,0.3,5.0,y
304,0.3,0.0,0.4,3.0,c
305,0.3,0.0,0.5,3.0,c
306,0.3,0.0,0.6,2.0,r
307,0.3,0.0,0.7,2.0,r
308,0.3,0.0,0.8,1.0,g
309,0.3,0.0,0.9,0.0,b
310,0.31,0.0,0.0,7.0,0.55
311,0.31,0.0,0.1,5.0,y
312,0.31,0.0,0.2,5.0,y
313,0.31,0.0,0.3,5.0,y
314,0.31,0.0,0.4,3.0,c
315,0.31,0.0,0.5,3.0,c
316,0.31,0.0,0.6,2.0,r
317,0.31,0.0,0.7,2.0,r
318,0.31,0.0,0.8,1.0,g
319,0.31,0.0,0.9,0.0,b
320,0.32,0.0,0.0,7.0,0.55
321,0.32,0.0,0.1,5.0,y
322,0.32,0.0,0.2,5.0,y
323,0.32,0.0,0.3,5.0,y
324,0.32,0.0,0.4,3.0,c
325,0.32,0.0,0.5,3.0,c
326,0.32,0.0,0.6,2.0,r
327,0.32,0.0,0.7,2.0,r
328,0.32,0.0,0.8,1.0,g
329,0.32,0.0,0.9,0.0,b
330,0.33,0.0,0.0,7.0,0.55
331,0.33,0.0,0.1,5.0,y
332,0.33,0.0,0.2,5.0,y
333,0.33,0.0,0.3,5.0,y
334,0.33,0.0,0.4,3.0,c
335,0.33,0.0,0.5,3.0,c
336,0.33,0.0,0.6,2.0,r
337,0.33,0.0,0.7,2.0,r
338,0.33,0.0,0.8,1.0,g
339,0.33,0.0,0.9,0.0,b
340,0.34,0.0,0.0,7.0,0.55
341,0.34,0.0,0.1,5.0,y
342,0.34,0.0,0.2,5.0,y
343,0.34,0.0,0.3,5.0,y
344,0.34,0.0,0.4,3.0,c
345,0.34,0.0,0.5,3.0,c
346,0.34,0.0,0.6,2.0,r
347,0.34,0.0,0.7,2.0,r
348,0.34,0.0,0.8,1.0,g
349,0.34,0.0,0.9,0.0,b
350,0.35,0.0,0.0,7.0,0.55
351,0.35,0.0,0.1,5.0,y
352,0.35,0.0,0.2,5.0,y
353,0.35,0.0,0.3,5.0,y
354,0.35,0.0,0.4,3.0,c
355,0.35,0.0,0.5,3.0,c
356,0.35,0.0,0.6,2.0,r
357,0.35,0.0,0.7,2.0,r
358,0.35,0.0,0.8,1.0,g
359,0.35,0.0,0.9,0.0,b
360,0.36,0.0,0.0,7.0,0.55
361,0.36,0.0,0.1,5.0,y
362,0.36,0.0,0.2,5.0,y
363,0.36,0.0,0.3,5.0,y
364,0.36,0.0,0.4,3.0,c
365,0.36,0.0,0.5,3.0,c
366,0.36,0.0,0.6,2.0,r
367,0.36,0.0,0.7,2.0,r
368,0.36,0.0,0.8,1.0,g
369,0.36,0.0,0.9,0.0,b
370,0.37,0.0,0.0,7.0,0.55
371,0.37,0.0,0.1,5.0,y
372,0.37,0.0,0.2,5.0,y
373,0.37,0.0,0.3,5.0,y
374,0.37,0.0,0.4,3.0,c
375,0.37,0.0,0.5,3.0,c
376,0.37,0.0,0.6,2.0,r
377,0.37,0.0,0.7,2.0,r
378,0.37,0.0,0.8,1.0,g
379,0.37,0.0,0.9,0.0,b
380,0.38,0.0,0.0,7.0,0.55
381,0.38,0.0,0.1,5.0,y
382,0.38,0.0,0.2,5.0,y
383,0.38,0.0,0.3,5.0,y
384,0.38,0.0,0.4,3.0,c
385,0.38,0.0,0.5,3.0,c
386,0.38,0.0,0.6,2.0,r
387,0.38,0.0,0.7,2.0,r
388,0.38,0.0,0.8,1.0,g
389,0.38,0.0,0.9,0.0,b
390,0.39,0.0,0.0,7.0,0.55
391,0.39,0.0,0.1,5.0,y
392,0.39,0.0,0.2,5.0,y
393,0.39,0.0,0.3,5.0,y
394,0.39,0.0,0.4,3.0,c
395,0.39,0.0,0.5,3.0,c
396,0.39,0.0,0.6,2.0,r
397,0.39,0.0,0.7,2.0,r
398,0.39,0.0,0.8,1.0,g
399,0.39,0.0,0.9,0.0,b
400,0.4,0.0,0.0,7.0,0.55
401,0.4,0.0,0.1,5.0,y
402,0.4,0.0,0.2,5.0,y
403,0.4,0.0,0.3,5.0,y
404,0.4,0.0,0.4,3.0,c
405,0.4,0.0,0.5,3.0,c
406,0.4,0.0,0.6,2.0,r
407,0.4,0.0,0.7,2.0,r
408,0.4,0.0,0.8,1.0,g
409,0.4,0.0,0.9,0.0,b
410,0.41,0.0,0.0,7.0,0.55
411,0.41,0.0,0.1,5.0,y
412,0.41,0.0,0.2,5.0,y
413,0.41,0.0,0.3,5.0,y
414,0.41,0.0,0.4,3.0,c
415,0.41,0.0,0.5,3.0,c
416,0.41,0.0,0.6,2.0,r
417,0.41,0.0,0.7,2.0,r
418,0.41,0.0,0.8,1.0,g
419,0.41,0.0,0.9,0.0,b
420,0.42,0.0,0.0,7.0,0.55
421,0.42,0.0,0.1,5.0,y
422,0.42,0.0,0.2,5.0,y
423,0.42,0.0,0.3,5.0,y
424,0.42,0.0,0.4,3.0,c
425,0.42,0.0,0.5,3.0,c
426,0.42,0.0,0.6,2.0,r
427,0.42,0.0,0.7,2.0,r
428,0.42,0.0,0.8,1.0,g
429,0.42,0.0,0.9,0.0,b
430,0.43,0.0,0.0,7.0,0.55
431,0.43,0.0,0.1,7.0,0.55
432,0.43,0.0,0.2,5.0,y
433,0.43,0.0,0.3,5.0,y
434,0.43,0.0,0.4,3.0,c
435,0.43,0.0,0.5,3.0,c
436,0.43,0.0,0.6,2.0,r
437,0.43,0.0,0.7,2.0,r
438,0.43,0.0,0.8,1.0,g
439,0.43,0.0,0.9,0.0,b
440,0.44,0.0,0.0,7.0,0.55
441,0.44,0.0,0.1,7.0,0.55
442,0.44,0.0,0.2,5.0,y
443,0.44,0.0,0.3,5.0,y
444,0.44,0.0,0.4,3.0,c
445,0.44,0.0,0.5,3.0,c
446,0.44,0.0,0.6,2.0,r
447,0.44,0.0,0.7,2.0,r
448,0.44,0.0,0.8,1.0,g
449,0.44,0.0,0.9,0.0,b
450,0.45,0.0,0.0,7.0,0.55
451,0.45,0.0,0.1,7.0,0.55
452,0.45,0.0,0.2,5.0,y
453,0.45,0.0,0.3,5.0,y
454,0.45,0.0,0.4,3.0,c
455,0.45,0.0,0.5,3.0,c
456,0.45,0.0,0.6,2.0,r
457,0.45,0.0,0.7,2.0,r
458,0.45,0.0,0.8,1.0,g
459,0.45,0.0,0.9,0.0,b
460,0.46,0.0,0.0,7.0,0.55
461,0.46,0.0,0.1,7.0,0.55
462,0.46,0.0,0.2,5.0,y
463,0.46,0.0,0.3,5.0,y
464,0.46,0.0,0.4,3.0,c
465,0.46,0.0,0.5,3.0,c
466,0.46,0.0,0.6,2.0,r
467,0.46,0.0,0.7,2.0,r
468,0.46,0.0,0.8,1.0,g
469,0.46,0.0,0.9,0.0,b
470,0.47,0.0,0.0,7.0,0.55
471,0.47,0.0,0.1,7.0,0.55
472,0.47,0.0,0.2,5.0,y
473,0.47,0.0,0.3,5.0,y
474,0.47,0.0,0.4,3.0,c
475,0.47,0.0,0.5,3.0,c
476,0.47,0.0,0.6,2.0,r
477,0.47,0.0,0.7,2.0,r
478,0.47,0.0,0.8,1.0,g
479,0.47,0.0,0.9,0.0,b
480,0.48,0.0,0.0,7.0,0.55
481,0.48,0.0,0.1,7.0,0.55
482,0.48,0.0,0.2,5.0,y
483,0.48,0.0,0.3,5.0,y
484,0.48,0.0,0.4,3.0,c
485,0.48,0.0,0.5,3.0,c
486,0.48,0.0,0.6,2.0,r
487,0.48,0.0,0.7,2.0,r
488,0.48,0.0,0.8,1.0,g
489,0.48,0.0,0.9,0.0,b
490,0.49,0.0,0.0,7.0,0.55
491,0.49,0.0,0.1,7.0,0.55
492,0.49,0.0,0.2,5.0,y
493,0.49,0.0,0.3,5.0,y
494,0.49,0.0,0.4,3.0,c
495,0.49,0.0,0.5,3.0,c
496,0.49,0.0,0.6,2.0,r
497,0.49,0.0,0.7,2.0,r
498,0.49,0.0,0.8,1.0,g
499,0.49,0.0,0.9,0.0,b
500,0.5,0.0,0.0,7.0,0.55
501,0.5,0.0,0.1,7.0,0.55
502,0.5,0.0,0.2,5.0,y
503,0.5,0.0,0.3,5.0,y
504,0.5,0.0,0.4,3.0,c
505,0.5,0.0,0.5,3.0,c
506,0.5,0.0,0.6,2.0,r
507,0.5,0.0,0.7,2.0,r
508,0.5,0.0,0.8,1.0,g
509,0.5,0.0,0.9,0.0,b
510,0.51,0.0,0.0,7.0,0.55
511,0.51,0.0,0.1,7.0,0.55
512,0.51,0.0,0.2,5.0,y
513,0.51,0.0,0.3,5.0,y
514,0.51,0.0,0.4,3.0,c
515,0.51,0.0,0.5,3.0,c
516,0.51,0.0,0.6,2.0,r
517,0.51,0.0,0.7,2.0,r
518,0.51,0.0,0.8,1.0,g
519,0.51,0.0,0.9,0.0,b
520,0.52,0.0,0.0,7.0,0.55
521,0.52,0.0,0.1,7.0,0.55
522,0.52,0.0,0.2,5.0,y
523,0.52,0.0,0.3,5.0,y
524,0.52,0.0,0.4,3.0,c
525,0.52,0.0,0.5,3.0,c
526,0.52,0.0,0.6,2.0,r
527,0.52,0.0,0.7,2.0,r
528,0.52,0.0,0.8,1.0,g
529,0.52,0.0,0.9,0.0,b
530,0.53,0.0,0.0,7.0,0.55
531,0.53,0.0,0.1,7.0,0.55
532,0.53,0.0,0.2,5.0,y
533,0.53,0.0,0.3,5.0,y
534,0.53,0.0,0.4,3.0,c
535,0.53,0.0,0.5,3.0,c
536,0.53,0.0,0.6,2.0,r
537,0.53,0.0,0.7,2.0,r
538,0.53,0.0,0.8,1.0,g
539,0.53,0.0,0.9,0.0,b
540,0.54,0.0,0.0,7.0,0.55
541,0.54,0.0,0.1,7.0,0.55
542,0.54,0.0,0.2,5.0,y
543,0.54,0.0,0.3,5.0,y
544,0.54,0.0,0.4,3.0,c
545,0.54,0.0,0.5,3.0,c
546,0.54,0.0,0.6,2.0,r
547,0.54,0.0,0.7,2.0,r
548,0.54,0.0,0.8,1.0,g
549,0.54,0.0,0.9,0.0,b
550,0.55,0.0,0.0,7.0,0.55
551,0.55,0.0,0.1,7.0,0.55
552,0.55,0.0,0.2,5.0,y
553,0.55,0.0,0.3,5.0,y
554,0.55,0.0,0.4,3.0,c
555,0.55,0.0,0.5,3.0,c
556,0.55,0.0,0.6,2.0,r
557,0.55,0.0,0.7,2.0,r
558,0.55,0.0,0.8,1.0,g
559,0.55,0.0,0.9,0.0,b
560,0.56,0.0,0.0,7.0,0.55
561,0.56,0.0,0.1,7.0,0.55
562,0.56,0.0,0.2,5.0,y
563,0.56,0.0,0.3,5.0,y
564,0.56,0.0,0.4,3.0,c
565,0.56,0.0,0.5,3.0,c
566,0.56,0.0,0.6,2.0,r
567,0.56,0.0,0.7,2.0,r
568,0.56,0.0,0.8,1.0,g
569,0.56,0.0,0.9,0.0,b
570,0.57,0.0,0.0,7.0,0.55
571,0.57,0.0,0.1,7.0,0.55
572,0.57,0.0,0.2,5.0,y
573,0.57,0.0,0.3,5.0,y
574,0.57,0.0,0.4,3.0,c
575,0.57,0.0,0.5,3.0,c
576,0.57,0.0,0.6,2.0,r
577,0.57,0.0,0.7,2.0,r
578,0.57,0.0,0.8,1.0,g
579,0.57,0.0,0.9,0.0,b
580,0.58,0.0,0.0,7.0,0.55
581,0.58,0.0,0.1,7.0,0.55
582,0.58,0.0,0.2,5.0,y
583,0.58,0.0,0.3,5.0,y
584,0.58,0.0,0.4,3.0,c
585,0.58,0.0,0.5,3.0,c
586,0.58,0.0,0.6,2.0,r
587,0.58,0.0,0.7,2.0,r
588,0.58,0.0,0.8,1.0,g
589,0.58,0.0,0.9,0.0,b
590,0.59,0.0,0.0,7.0,0.55
591,0.59,0.0,0.1,7.0,0.55
592,0.59,0.0,0.2,5.0,y
593,0.59,0.0,0.3,5.0,y
594,0.59,0.0,0.4,3.0,c
595,0.59,0.0,0.5,3.0,c
596,0.59,0.0,0.6,2.0,r
597,0.59,0.0,0.7,2.0,r
598,0.59,0.0,0.8,1.0,g
599,0.59,0.0,0.9,0.0,b
600,0.6,0.0,0.0,7.0,0.55
601,0.6,0.0,0.1,7.0,0.55
602,0.6,0.0,0.2,5.0,y
603,0.6,0.0,0.3,5.0,y
604,0.6,0.0,0.4,3.0,c
605,0.6,0.0,0.5,3.0,c
606,0.6,0.0,0.6,2.0,r
607,0.6,0.0,0.7,2.0,r
608,0.6,0.0,0.8,1.0,g
609,0.6,0.0,0.9,0.0,b
610,0.61,0.0,0.0,7.0,0.55
611,0.61,0.0,0.1,7.0,0.55
612,0.61,0.0,0.2,5.0,y
613,0.61,0.0,0.3,5.0,y
614,0.61,0.0,0.4,3.0,c
615,0.61,0.0,0.5,3.0,c
616,0.61,0.0,0.6,2.0,r
617,0.61,0.0,0.7,2.0,r
618,0.61,0.0,0.8,1.0,g
619,0.61,0.0,0.9,0.0,b
620,0.62,0.0,0.0,7.0,0.55
621,0.62,0.0,0.1,7.0,0.55
622,0.62,0.0,0.2,5.0,y
623,0.62,0.0,0.3,5.0,y
624,0.62,0.0,0.4,3.0,c
625,0.62,0.0,0.5,3.0,c
626,0.62,0.0,0.6,2.0,r
627,0.62,0.0,0.7,2.0,r
628,0.62,0.0,0.8,1.0,g
629,0.62,0.0,0.9,0.0,b
630,0.63,0.0,0.0,7.0,0.55
631,0.63,0.0,0.1,7.0,0.55
632,0.63,0.0,0.2,5.0,y
633,0.63,0.0,0.3,5.0,y
634,0.63,0.0,0.4,3.0,c
635,0.63,0.0,0.5,3.0,c
636,0.63,0.0,0.6,2.0,r
637,0.63,0.0,0.7,2.0,r
638,0.63,0.0,0.8,1.0,g
639,0.63,0.0,0.9,0.0,b
640,0.64,0.0,0.0,7.0,0.55
641,0.64,0.0,0.1,7.0,0.55
642,0.64,0.0,0.2,5.0,y
643,0.64,0.0,0.3,5.0,y
644,0.64,0.0,0.4,3.0,c
645,0.64,0.0,0.5,3.0,c
646,0.64,0.0,0.6,2.0,r
647,0.64,0.0,0.7,2.0,r
648,0.64,0.0,0.8,1.0,g
649,0.64,0.0,0.9,0.0,b
650,0.65,0.0,0.0,7.0,0.55
651,0.65,0.0,0.1,7.0,0.55
652,0.65,0.0,0.2,5.0,y
653,0.65,0.0,0.3,5.0,y
654,0.65,0.0,0.4,3.0,c
655,0.65,0.0,0.5,3.0,c
656,0.65,0.0,0.6,2.0,r
657,0.65,0.0,0.7,2.0,r
658,0.65,0.0,0.8,1.0,g
659,0.65,0.0,0.9,0.0,b
660,0.66,0.0,0.0,7.0,0.55
661,0.66,0.0,0.1,7.0,0.55
662,0.66,0.0,0.2,5.0,y
663,0.66,0.0,0.3,5.0,y
664,0.66,0.0,0.4,3.0,c
665,0.66,0.0,0.5,3.0,c
666,0.66,0.0,0.6,2.0,r
667,0.66,0.0,0.7,2.0,r
668,0.66,0.0,0.8,1.0,g
669,0.66,0.0,0.9,0.0,b
670,0.67,0.0,0.0,7.0,0.55
671,0.67,0.0,0.1,7.0,0.55
672,0.67,0.0,0.2,5.0,y
673,0.67,0.0,0.3,5.0,y
674,0.67,0.0,0.4,3.0,c
675,0.67,0.0,0.5,3.0,c
676,0.67,0.0,0.6,2.0,r
677,0.67,0.0,0.7,2.0,r
678,0.67,0.0,0.8,1.0,g
679,0.67,0.0,0.9,0.0,b
680,0.68,0.0,0.0,7.0,0.55
681,0.68,0.0,0.1,7.0,0.55
682,0.68,0.0,0.2,5.0,y
683,0.68,0.0,0.3,5.0,y
684,0.68,0.0,0.4,3.0,c
685,0.68,0.0,0.5,3.0,c
686,0.68,0.0,0.6,2.0,r
687,0.68,0.0,0.7,2.0,r
688,0.68,0.0,0.8,1.0,g
